Orchard Code,Variety,Sum of 2022 USDA Mt Lbs,Sum of 2023 USDA Mt Lbs,Sum of 2024 USDA Mt Lbs,Sum of 2022 Incoming,Sum of 2022 USDA Mt Lbs,Sum of 2023 Incoming,Sum of 2023 USDA Mt Lbs,Sum of 2024 Incoming,Sum of 2024 USDA Mt Lbs
DAF 1,Bennett-Hickman,0,0,29629,0,0,0,0,122500,29629
DAF 1,Carmel,0,0,1850,0,0,0,0,9360,1850
DAF 1,Independence,0,0,47433,0,0,0,0,257340,47433
DAF 1,Nonpareil,0,0,79387,0,0,0,0,388160,79387
DAF 1,Sonora,0,0,14725,0,0,0,0,50720,14725
DAF 2,Aldrich,11623,0,11665,45180,11623,0,0,46420,11665
DAF 2,Nonpareil,23554,0,23435,100300,23554,0,0,105760,23435
DAF 2,Sonora,6348,0,13490,28960,6348,0,0,48960,13490
DIBBLE,Independence,51426,0,,186720,51426,0,0,,
ENH,Independence,11848,0,,42040,11848,0,0,,
ENH,Nonpareil,19172,0,,84120,19172,0,0,,
ENH,Sonora,4311,0,,20060,4311,0,0,,
ESP,Independence,73017,0,,268180,73017,0,0,,
GJ,Aldrich,8120,0,7725,28220,8120,0,0,27760,7725
GJ,Fritz,8269,0,7725,35960,8269,0,0,32920,7725
GJ,Nonpareil,31198,0,28758,125640,31198,0,0,122220,28758
GL-Ranch,Aldrich,29227,0,16581,105940,29227,0,0,70880,16581
GL-Ranch,Butte,0,0,2114,0,0,0,0,10400,2114
GL-Ranch,Fritz,22633,0,20499,88000,22633,0,0,91840,20499
GL-Ranch,Monterey,16865,0,6524,70400,16865,0,0,27040,6524
GL-Ranch,Nonpareil,111209,0,103911,472180,111209,0,0,447440,103911
GOLF,Aldrich,19208,0,25449,86460,19208,0,0,114620,25449
GOLF,Butte,19169,0,28334,99500,19169,0,0,126320,28334
GOLF,Carmel,25387,0,30516,103420,25387,0,0,115100,30516
GOLF,Nonpareil,65479,0,96647,340100,65479,0,0,420920,96647
GOLF-P,Bennett-Hickman,0,0,26684,0,0,0,0,140380,26684
GOLF-P,Nonpareil,0,0,53918,0,0,0,0,312580,53918
GOODMAN,Independence,0,0,51175,0,0,0,0,185100,51175
JBW,Indpendence,10153,0,,38940,10153,0,0,,
JK,Aldrich,27279,0,28735,148660,27279,0,0,108000,28735
JK,Nonpareil,48056,0,56988,36280,48056,0,0,239920,56988
JK,Sonora,5509,0,17205,36280,5509,0,0,56060,17205
JK,Wood Colony,6930,0,15146,42920,6930,0,0,51820,15146
KF,Butte,55631,0,49177,256840,55631,0,0,229480,49177
KF,Nonpareil,99430,0,119356,513960,99430,0,0,608600,119356
KF,Sonora,6552,0,39947,56280,6552,0,0,135360,39947
KF,Winters,14245,0,19840,80200,14245,0,0,108960,19840
MAZZ-HOME,Butte,2751,0,3797,13460,2751,0,0,17400,3797
MAZZ-HOME,Fritz,1930,0,3952,10140,1930,0,0,18400,3952
MAZZ-HOME,Nonpareil,4878,0,8986,26660,4878,0,0,40280,8986
MCA,Aldrich,22208,0,,81140,22208,0,0,,
MCA,Fritz,10200,0,,48800,10200,0,0,,
MCA,Independence,9055,0,,46700,9055,0,0,,
MCA,Monterey,16782,0,,70020,16782,0,0,,
MCA,Nonpareil,71418,0,,317580,71418,0,0,,
MCA,Sonora,7892,0,,35720,7892,0,0,,
MCA,Wood Colony,6369,0,,27720,6369,0,0,,
RCH,Monterey,6112,0,5825,33040,6112,0,0,27060,5825
RCH,Nonpareil,29955,0,33708,148540,29955,0,0,152200,33708
RCH,Peerless,4604,0,4861,40120,4604,0,0,32200,4861
RCH,Sonora,10788,0,17986,58400,10788,0,0,72800,17986
REYES,Independence,33650,0,58200,193260,33650,0,0,249500,58200
RJR,Independence,19098,0,,65760,19098,0,0,,
SANTOW,Independence,21815,0,,81740,21815,0,0,,
SP50,Aldrich,860,0,3442,3980,860,0,0,13580,3442
SP50,Butte/Padre,5638,0,48668,54880,5638,0,0,241640,48668
SP50,Carmel,1622,0,7176,11960,1622,0,0,30120,7176
SP50,Mission,8619,0,21409,58380,8619,0,0,118360,21409
TOP,Aldrich,32218,0,25550,111520,32218,0,0,112700,25550
TOP,Nonpareil,93529,0,105327,429020,93529,0,0,451100,105327
TOP,Sonora,26244,0,33940,98840,26244,0,0,133600,33940
TOP,Wood Colony,20779,0,29456,78580,20779,0,0,116360,29456
WFP,Fritz,17971,0,14808,87040,17971,0,0,70720,14808
WFP,Nonpareil,22745,0,21081,103040,22745,0,0,92060,21081
ZUM,Aldrich,40072,0,,155640,40072,0,0,,
ZUM,Butte,39140,0,,168420,39140,0,0,,
ZUM,Monterey,48173,0,,194980,48173,0,0,,
ZUM,Nonpareil,137619,0,,596060,137619,0,0,,
